,context1,context2,label
584,The cup emptied with water.,Is the grammar of this sentence correct ?,0
585,the barge piled high with logs.,Is the grammar of this sentence incorrect ?,0
586,the road blocked with a stone.,Is the grammar of this sentence correct ?,0
587,the branch dropped bare of its apple.,Is the grammar of this sentence correct ?,0
588,the logs piled the barge high.,Is the grammar of this sentence correct ?,0
589,a stone blocked the road.,Is the grammar of this sentence incorrect ?,0
590,the bottle drained the liquid free.,Is the grammar of this sentence correct ?,0
591,the branch dropped its apple free.,Is the grammar of this sentence incorrect ?,0
592,Some branches broke off of the tree.,Is the grammar of this sentence correct ?,1
593,The tree broke off some branches.,Is the grammar of this sentence correct ?,0
594,The tree dropped some branches.,Is the grammar of this sentence correct ?,1
595,The tree lost some branches.,Is the grammar of this sentence incorrect ?,0
596,Water bubbled out of the kettle.,Is the grammar of this sentence incorrect ?,0
597,The kettle bubbled water up.,Is the grammar of this sentence incorrect ?,1
598,The kettle bubbled water.,Is the grammar of this sentence correct ?,1
599,The cup filled water.,Is the grammar of this sentence correct ?,0
600,The stone knocked the pole into the road.,Is the grammar of this sentence correct ?,0
601,The tub leaked empty of water.,Is the grammar of this sentence incorrect ?,0
602,The stone knocked against the pole into the road.,Is the grammar of this sentence correct ?,0
603,Hail stones broke the window.,Is the grammar of this sentence incorrect ?,0
604,The force of the wind broke the window.,Is the grammar of this sentence incorrect ?,0
605,The window broke from hail stones.,Is the grammar of this sentence correct ?,0
606,The window broke from the force of the wind.,Is the grammar of this sentence correct ?,1
607,What the force of the wind did to the window was break it.,Is the grammar of this sentence correct ?,1
608,John hit the stone against the wall.,Is the grammar of this sentence correct ?,1
609,John hit the wall with the stone.,Is the grammar of this sentence incorrect ?,0
610,John tapped some wine from a barrel.,Is the grammar of this sentence correct ?,1
611,John tapped a barrel of some wine.,Is the grammar of this sentence correct ?,1
612,John laid the book on the table.,Is the grammar of this sentence incorrect ?,0
613,John included his name in the list.,Is the grammar of this sentence correct ?,1
614,John loaded the bricks onto the truck.,Is the grammar of this sentence correct ?,1
615,John loaded the truck with bricks.,Is the grammar of this sentence incorrect ?,0
616,John fed rice to the baby.,Is the grammar of this sentence correct ?,1
617,John fed the baby rice.,Is the grammar of this sentence incorrect ?,0
618,John fed the baby up with rice.,Is the grammar of this sentence incorrect ?,0
619,John fed the baby rice up.,Is the grammar of this sentence incorrect ?,1
620,The ball lies completely in the box.,Is the grammar of this sentence correct ?,1
621,The box completely contains the ball.,Is the grammar of this sentence correct ?,1
622,The train got to the station fully.,Is the grammar of this sentence correct ?,1
623,The train reached the station fully.,Is the grammar of this sentence correct ?,1
624,Press the stamp against the pad completely.,Is the grammar of this sentence incorrect ?,0
625,Press the pad with the stamp completely.,Is the grammar of this sentence incorrect ?,0
626,Spray the paint onto the wall completely.,Is the grammar of this sentence correct ?,1
627,Spray all the paint onto the wall completely.,Is the grammar of this sentence incorrect ?,0
628,Spray the wall with all the paint.,Is the grammar of this sentence incorrect ?,1
629,Spray the whole wall with the paint.,Is the grammar of this sentence incorrect ?,0
630,What John did to the wall was paint it.,Is the grammar of this sentence correct ?,1
631,What John did to the whole wall was paint it.,Is the grammar of this sentence incorrect ?,0
632,What John did to the wall was hit it.,Is the grammar of this sentence correct ?,1
633,What the stone did to the wall was hit it.,Is the grammar of this sentence incorrect ?,1
634,What the stone did to the whole wall was hit it.,Is the grammar of this sentence incorrect ?,1
635,John took Bill to be a fool.,Is the grammar of this sentence correct ?,1
636,John concluded Bill to be a fool.,Is the grammar of this sentence incorrect ?,1
637,Give the bottle to the baby full.,Is the grammar of this sentence incorrect ?,0
638,Give the bottle to the baby awake.,Is the grammar of this sentence correct ?,0
639,Give the baby the bottle full.,Is the grammar of this sentence correct ?,1
640,Give the baby the bottle awake.,Is the grammar of this sentence incorrect ?,1
641,Rub the cloth on the baby torn.,Is the grammar of this sentence incorrect ?,0
642,Rub the cloth on the baby asleep.,Is the grammar of this sentence incorrect ?,1
643,Rub the baby with the cloth torn.,Is the grammar of this sentence incorrect ?,0
644,Rub the baby with the cloth asleep.,Is the grammar of this sentence correct ?,0
645,Dry the baby with the cloth asleep.,Is the grammar of this sentence incorrect ?,0
646,Dry the baby with the cloth torn.,Is the grammar of this sentence incorrect ?,1
647,The cup knocked the stone apart.,Is the grammar of this sentence correct ?,0
648,The stone knocked the cup apart.,Is the grammar of this sentence correct ?,1
649,The cup smashed apart against the stone.,Is the grammar of this sentence correct ?,1
650,The stone smashed the cup apart.,Is the grammar of this sentence incorrect ?,0
651,The tank filled with petrol out of the pump.,Is the grammar of this sentence incorrect ?,0
652,The cup emptied of water onto the ground.,Is the grammar of this sentence correct ?,1
653,John included her name in the list.,Is the grammar of this sentence correct ?,1
654,John rolled the ball from the tree to the bush.,Is the grammar of this sentence incorrect ?,0
655,John tapped the bottle of some water.,Is the grammar of this sentence correct ?,1
656,John gave Bill the book.,Is the grammar of this sentence correct ?,1
657,John got the book from Bill.,Is the grammar of this sentence correct ?,1
658,John gave Bill of the book.,Is the grammar of this sentence correct ?,0
659,We have someone in the living room.,Is the grammar of this sentence incorrect ?,0
660,John is very fond of Mary.,Is the grammar of this sentence incorrect ?,0
661,Mary laughed at John.,Is the grammar of this sentence correct ?,1
662,The ship sank beneath the waves.,Is the grammar of this sentence correct ?,1
663,Mary considers John a fool and Bill a wimp.,Is the grammar of this sentence incorrect ?,0
664,John regards professors as strange and politicians as creepy.,Is the grammar of this sentence incorrect ?,0
665,Sue put the books on the table and the records on the chair.,Is the grammar of this sentence correct ?,1
666,Harriet gave a mug to John and a scarf to Vivien.,Is the grammar of this sentence incorrect ?,0
667,I expect John to win and Harry to lose.,Is the grammar of this sentence correct ?,1
668,You eat the fish raw and the beef cooked.,Is the grammar of this sentence incorrect ?,0
669,They told Sue who to talk to and Virginia when to leave.,Is the grammar of this sentence correct ?,1
670,"Smith loaned, and his widow later donated, a valuable collection of manuscripts to the library.",Is the grammar of this sentence correct ?,1
671,"Sue moved, and Mary also transferred, her business to a different location.",Is the grammar of this sentence correct ?,1
672,"I succeeded in convincing, even though John had failed to persuade, Mary not to leave.",Is the grammar of this sentence incorrect ?,0
673,"We didn't particularly like, but nevertheless ate, the fish raw.",Is the grammar of this sentence incorrect ?,0
674,"Flo desperately wants, though she doesn't really expect, the Miami Dolphins to be in the play-offs.",Is the grammar of this sentence correct ?,1
675,John learned French perfectly.,Is the grammar of this sentence correct ?,1
676,Bill recited his lines poorly.,Is the grammar of this sentence correct ?,1
677,Mary plays the violin beautifully.,Is the grammar of this sentence incorrect ?,0
678,John perfectly learned French.,Is the grammar of this sentence incorrect ?,1
679,Bill poorly recited his lines.,Is the grammar of this sentence incorrect ?,1
680,John learned French immediately.,Is the grammar of this sentence correct ?,1
681,Bill recited his lines slowly.,Is the grammar of this sentence correct ?,1
682,Mary will play the violin soon.,Is the grammar of this sentence correct ?,1
683,John immediately learned French.,Is the grammar of this sentence correct ?,1
684,Bill slowly recited his lines.,Is the grammar of this sentence correct ?,1
685,Mary will soon play the violin.,Is the grammar of this sentence correct ?,1
686,John immediately learned French perfectly.,Is the grammar of this sentence incorrect ?,0
687,John learned French perfectly almost immediately.,Is the grammar of this sentence incorrect ?,0
688,John learned French perfectly immediately.,Is the grammar of this sentence incorrect ?,0
689,John perfectly learned French immediately.,Is the grammar of this sentence correct ?,0
690,John learned French immediately perfectly.,Is the grammar of this sentence correct ?,0
691,"Clearly, John immediately will probably learn French perfectly.",Is the grammar of this sentence correct ?,0
692,"Immediately, John probably will clearly learn French perfectly.",Is the grammar of this sentence correct ?,0
693,"Clearly, John perfectly will immediately learn French probably.",Is the grammar of this sentence correct ?,0
694,John perfectly rolled the ball down the hill.,Is the grammar of this sentence correct ?,0
695,John rolled the ball perfectly down the hill.,Is the grammar of this sentence correct ?,1
696,John rolled the ball down the hill perfectly.,Is the grammar of this sentence incorrect ?,0
697,John perfectly shot the ball.,Is the grammar of this sentence correct ?,0
698,John shot the ball perfectly.,Is the grammar of this sentence incorrect ?,0
699,John intimately spoke to Mary.,Is the grammar of this sentence incorrect ?,1
700,John spoke intimately to Mary.,Is the grammar of this sentence correct ?,1
701,John spoke to Mary intimately.,Is the grammar of this sentence correct ?,1
702,John spoke French intimately to Mary.,Is the grammar of this sentence correct ?,1
703,John spoke French to Mary intimately.,Is the grammar of this sentence incorrect ?,0
704,Mary jumped the horse perfectly over the last fence.,Is the grammar of this sentence correct ?,1
705,Mary jumped the horse over the last fence perfectly.,Is the grammar of this sentence incorrect ?,0
706,John spoke intimately French to Mary.,Is the grammar of this sentence incorrect ?,1
707,John spoke to Mary French.,Is the grammar of this sentence incorrect ?,1
708,Mary persuaded to leave John.,Is the grammar of this sentence correct ?,0
709,The lions ate raw the meat.,Is the grammar of this sentence correct ?,0
710,Mary persuaded that he should rest Bill.,Is the grammar of this sentence incorrect ?,1
711,We consider the men all fools.,Is the grammar of this sentence incorrect ?,0
712,We consider the men all totally crazy.,Is the grammar of this sentence incorrect ?,0
713,I saw the men all.,Is the grammar of this sentence incorrect ?,1
714,The men were arrested all.,Is the grammar of this sentence incorrect ?,1
715,The men arrived all.,Is the grammar of this sentence incorrect ?,1
716,The teacher ordered the two boys both to pay close attention.,Is the grammar of this sentence correct ?,1
717,They returned the books all to their owners.,Is the grammar of this sentence correct ?,1
718,We painted the chairs all red.,Is the grammar of this sentence incorrect ?,0
719,The trainer fed the steaks all to the lions.,Is the grammar of this sentence incorrect ?,0
720,Bill proud of himself John doesn't consider.,Is the grammar of this sentence correct ?,0
721,Home was gone by John.,Is the grammar of this sentence incorrect ?,1
722,Mary left the room angry.,Is the grammar of this sentence incorrect ?,0
723,The room was left angry by Mary.,Is the grammar of this sentence incorrect ?,1
724,The room was left angry.,Is the grammar of this sentence incorrect ?,1
725,John resembles Bill.,Is the grammar of this sentence correct ?,1
726,Bill is resembled by John.,Is the grammar of this sentence incorrect ?,1
727,The package weighed 10 lb.,Is the grammar of this sentence correct ?,1
728,10 lb was weighed by the package.,Is the grammar of this sentence correct ?,0
729,This book cost $10.,Is the grammar of this sentence correct ?,1
730,$10 was cost by this book.,Is the grammar of this sentence correct ?,0
731,The book cost John $10.,Is the grammar of this sentence correct ?,1
732,John was cost $10 by the book.,Is the grammar of this sentence incorrect ?,1
733,John is impressed by Bill as pompous.,Is the grammar of this sentence correct ?,0
734,The boys were made a good mother.,Is the grammar of this sentence correct ?,0
735,The boys were made a good mother by Aunt Mary.,Is the grammar of this sentence correct ?,0
736,The kids were failed by Max as a father.,Is the grammar of this sentence incorrect ?,1
737,The kids were failed as a father.,Is the grammar of this sentence incorrect ?,1
738,The men were struck by the idea as nonsense.,Is the grammar of this sentence incorrect ?,1
739,The men were promised to leave.,Is the grammar of this sentence correct ?,0
740,He impresses his friends all as pompous.,Is the grammar of this sentence correct ?,0
741,Aunt Mary made the boys all a good mother.,Is the grammar of this sentence incorrect ?,1
742,Max failed the kids all as a father.,Is the grammar of this sentence correct ?,0
743,Frank promised the men all to leave.,Is the grammar of this sentence incorrect ?,1
744,We proclaimed to the public John to be a hero.,Is the grammar of this sentence incorrect ?,1
745,We proclaimed John to the public to be a hero.,Is the grammar of this sentence incorrect ?,0
746,We proclaimed sincerely John to be a hero.,Is the grammar of this sentence incorrect ?,1
747,We proclaimed John sincerely to be a hero.,Is the grammar of this sentence correct ?,1
748,We proclaimed sincerely to the public John to be a hero.,Is the grammar of this sentence incorrect ?,1
749,We proclaimed John sincerely to the public to be a hero.,Is the grammar of this sentence incorrect ?,0
750,They represented to the dean Mary as a genuine linguist.,Is the grammar of this sentence correct ?,0
751,They represented Mary to the dean as a genuine linguist.,Is the grammar of this sentence correct ?,1
752,They represented seriously Mary as a genuine linguist.,Is the grammar of this sentence incorrect ?,1
753,They represented Mary seriously as a genuine linguist.,Is the grammar of this sentence incorrect ?,0
754,They represented Mary seriously to the dean as a genuine linguist.,Is the grammar of this sentence correct ?,1
755,We proved to the authorities Smith to be the thief.,Is the grammar of this sentence correct ?,0
756,We proved conclusively Smith to be the thief.,Is the grammar of this sentence incorrect ?,1
757,We proved Smith conclusively to be the thief.,Is the grammar of this sentence incorrect ?,0
758,We proved conclusively to the authorities Smith to be the thief.,Is the grammar of this sentence incorrect ?,1
759,We proved Smith conclusively to the authorities to be the thief.,Is the grammar of this sentence incorrect ?,0
760,The gardener watered the tulips flat.,Is the grammar of this sentence incorrect ?,0
761,The grocer ground the coffee beans to a fine powder.,Is the grammar of this sentence correct ?,1
762,They painted their house a hideous shade of green.,Is the grammar of this sentence correct ?,1
763,The joggers ran their Nikes threadbare.,Is the grammar of this sentence correct ?,1
764,The kids laughed themselves into a frenzy.,Is the grammar of this sentence correct ?,1
765,He coughed his handkerchief completely soggy.,Is the grammar of this sentence incorrect ?,0
766,They fed the meat to the lions raw.,Is the grammar of this sentence incorrect ?,0
767,The lions ate at the meat raw.,Is the grammar of this sentence correct ?,0
768,We love them.,Is the grammar of this sentence correct ?,1
769,We love they.,Is the grammar of this sentence correct ?,0
770,We love their.,Is the grammar of this sentence incorrect ?,1
771,Us love their.,Is the grammar of this sentence incorrect ?,1
772,Our love they.,Is the grammar of this sentence incorrect ?,0
773,Our love them.,Is the grammar of this sentence correct ?,1
774,Our love their.,Is the grammar of this sentence incorrect ?,0
775,he belief that Mary kissed Bill is mistaken.,Is the grammar of this sentence incorrect ?,1
776,him belief that Mary kissed Bill is mistaken.,Is the grammar of this sentence incorrect ?,1
777,his belief that Mary kissed Bill is mistaken.,Is the grammar of this sentence incorrect ?,0
778,Mary loves him.,Is the grammar of this sentence correct ?,1
779,Mary is fond of him.,Is the grammar of this sentence correct ?,1
780,Mary is fond him.,Is the grammar of this sentence correct ?,0
781,Mary criticized him.,Is the grammar of this sentence incorrect ?,0
782,Mary's criticism him was cruel.,Is the grammar of this sentence incorrect ?,1
783,Mary's criticism of him was cruel.,Is the grammar of this sentence correct ?,1
784,That John loves Mary is doubtful.,Is the grammar of this sentence incorrect ?,0
785,John to love Mary would be doubtful.,Is the grammar of this sentence correct ?,0
786,For John to love Mary would be doubtful.,Is the grammar of this sentence correct ?,1
787,To go abroad would be nice.,Is the grammar of this sentence correct ?,1
788,John's plan to go abroad is nice.,Is the grammar of this sentence correct ?,1
789,Mary believed John to have loved her.,Is the grammar of this sentence correct ?,1
790,Mary considered John to have loved her.,Is the grammar of this sentence incorrect ?,0
791,Mary reported John to have loved her.,Is the grammar of this sentence correct ?,1
792,Mary considered to have loved her.,Is the grammar of this sentence incorrect ?,1
793,Mary tried to go abroad.,Is the grammar of this sentence correct ?,1
794,Mary intended to go abroad.,Is the grammar of this sentence incorrect ?,0
795,Mary managed to go abroad.,Is the grammar of this sentence incorrect ?,0
796,Mary desired to go abroad.,Is the grammar of this sentence correct ?,1
797,Mary tried John to go abroad.,Is the grammar of this sentence correct ?,0
798,Mary managed John to go abroad.,Is the grammar of this sentence correct ?,0
799,Mary desired John to go abroad.,Is the grammar of this sentence correct ?,0
800,Mary believed him to have loved her.,Is the grammar of this sentence incorrect ?,0
801,Mary considered him to have loved her.,Is the grammar of this sentence incorrect ?,0
802,Mary believed he to have loved her.,Is the grammar of this sentence incorrect ?,1
803,Mary considered he to have loved her.,Is the grammar of this sentence incorrect ?,1
804,Mary reported he to have loved her.,Is the grammar of this sentence incorrect ?,1
805,Mary believed his to have loved her.,Is the grammar of this sentence correct ?,0
806,Mary considered his to have loved her.,Is the grammar of this sentence correct ?,0
807,Mary reported his to have loved her.,Is the grammar of this sentence incorrect ?,1
808,It is certain that John has loved Mary.,Is the grammar of this sentence incorrect ?,0
809,It is likely that John has loved Mary.,Is the grammar of this sentence correct ?,1
810,There are strangers in that garden.,Is the grammar of this sentence correct ?,1
811,There is strangers in that garden.,Is the grammar of this sentence incorrect ?,1
812,There is arriving three men at that station.,Is the grammar of this sentence incorrect ?,1
813,There are arriving three men at that station.,Is the grammar of this sentence incorrect ?,0
814,I consider there to be a man in that garden.,Is the grammar of this sentence incorrect ?,0
815,I consider there a man in that garden.,Is the grammar of this sentence correct ?,0
816,They alleged there to have been many strangers in that garden.,Is the grammar of this sentence incorrect ?,0
817,They alleged many strangers to have been in that garden.,Is the grammar of this sentence incorrect ?,1
818,John wagered there to have been a stranger in that haunted house.,Is the grammar of this sentence correct ?,1
819,John wagered a stranger to have been in that haunted house.,Is the grammar of this sentence incorrect ?,1
820,John tried to kiss Mary.,Is the grammar of this sentence incorrect ?,0
821,John persuaded Mary to kiss him.,Is the grammar of this sentence correct ?,1
822,John told Mary to kiss him.,Is the grammar of this sentence correct ?,1
823,It is illegal to park here.,Is the grammar of this sentence incorrect ?,0
824,I remembered him having kissed Mary.,Is the grammar of this sentence incorrect ?,0
825,I reported him having kissed Mary.,Is the grammar of this sentence incorrect ?,0
826,I reported having kissed Mary.,Is the grammar of this sentence correct ?,1
827,I enjoy taking a bath.,Is the grammar of this sentence incorrect ?,0
828,I detest taking a bath.,Is the grammar of this sentence correct ?,1
829,I enjoy him taking a bath.,Is the grammar of this sentence incorrect ?,1
830,I detest him taking a bath.,Is the grammar of this sentence correct ?,0
831,I saw him kissing Mary.,Is the grammar of this sentence correct ?,1
832,I noticed him kissing Mary.,Is the grammar of this sentence correct ?,1
833,I noticed kissing Mary.,Is the grammar of this sentence incorrect ?,1
834,There was known to everyone.,Is the grammar of this sentence incorrect ?,1
835,John's refusing the offer is shocking.,Is the grammar of this sentence correct ?,1
836,the enemy's destroying the city was horrific.,Is the grammar of this sentence correct ?,1
837,John's refusal of the offer was shocking.,Is the grammar of this sentence incorrect ?,0
838,the enemy's destruction of the city was horrific.,Is the grammar of this sentence correct ?,1
839,John wanted to leave the room happy and leave the room he did happy.,Is the grammar of this sentence incorrect ?,1
840,"I often send Mary home drunk, and she gets there just fine.",Is the grammar of this sentence correct ?,1
841,I raw eat fish drunk.,Is the grammar of this sentence correct ?,0
842,I only eat fish drunk raw.,Is the grammar of this sentence correct ?,0
843,"I don't think Fred will, either.",Is the grammar of this sentence correct ?,1
844,"José likes cabbage, and Holly does too.",Is the grammar of this sentence correct ?,1
845,"José ate cabbage, and Holly has too.",Is the grammar of this sentence correct ?,1
846,"José is eating cabbage, and Holly is too.",Is the grammar of this sentence incorrect ?,0
847,John is leaving but Mary's not.,Is the grammar of this sentence incorrect ?,0
848,I consider Bill intelligent and I consider Sally not.,Is the grammar of this sentence correct ?,1
849,"Sally started running down the street, but only after José started.",Is the grammar of this sentence correct ?,0
850,"Sally made Bill laugh, and then José made.",Is the grammar of this sentence incorrect ?,1
851,"Mary came to read Fred's story, and I also came to.",Is the grammar of this sentence correct ?,0
852,"John wants to go on vacation, but he doesn't know when to.",Is the grammar of this sentence incorrect ?,0
853,"Mary was told to bring something to the party, so she asked Sue what to.",Is the grammar of this sentence incorrect ?,1
854,We might go on vacation if we can ever figure out when to.,Is the grammar of this sentence incorrect ?,1
855,"Ron wanted to wear a tuxedo to the party, but Caspar couldn't decide whether to.",Is the grammar of this sentence incorrect ?,1
856,You shouldn't play with rifles because to is dangerous.,Is the grammar of this sentence correct ?,0
857,John is being discussed and Sally is being too.,Is the grammar of this sentence correct ?,0
858,"I remember John being discussed, but you recall Sally being.",Is the grammar of this sentence incorrect ?,1
859,"Sally might have eaten cabbage, but Holly shouldn't.",Is the grammar of this sentence correct ?,1
860,"José asks that we go to the meeting, and Sally will tell us when.",Is the grammar of this sentence incorrect ?,0
861,"It's we go to the meeting, that Sally will tell us when.",Is the grammar of this sentence correct ?,0
862,It's to Mary that Joe said Holly can talk.,Is the grammar of this sentence incorrect ?,0
863,"Mary claimed that eaten cabbage, Holly hasn't.",Is the grammar of this sentence incorrect ?,0
864,"Mary claimed that eating cabbage, Holly's not.",Is the grammar of this sentence correct ?,1
865,"Mary claimed that eat cabbage, Holly wants to.",Is the grammar of this sentence correct ?,1
866,"Mary claimed that would eat cabbage, Holly.",Is the grammar of this sentence incorrect ?,1
867,"Mary claimed that hasn't eaten cabbage, Holly.",Is the grammar of this sentence correct ?,0
868,"Mary claimed that eating cabbage, Holly started.",Is the grammar of this sentence correct ?,0
869,"Mary claimed that eat cabbage, Holly made me.",Is the grammar of this sentence correct ?,0
870,"Mary claimed that have eaten cabbage, Holly should.",Is the grammar of this sentence correct ?,0
871,"Mary claimed that intelligent, I consider Holly not.",Is the grammar of this sentence correct ?,0
872,Lilly recounted a story to remember because Holly had also recounted a story to.,Is the grammar of this sentence incorrect ?,1
873,I reviewed Joe's attempt to find Holly while you reviewed José's attempt to.,Is the grammar of this sentence correct ?,0
874,"Mary questioned Joe's desire to eat cabbage, but only after I had questioned Sally's desire to.",Is the grammar of this sentence correct ?,0
875,"Sally explained the attempt to arrest Holly, but only after I had denied the decision to.",Is the grammar of this sentence incorrect ?,1
876,"John didn't hit a home run, but I know a woman who did.",Is the grammar of this sentence correct ?,1
877,"That Betsy won the batting crown is not surprising, but that Peter didn't know she did is surprising.",Is the grammar of this sentence correct ?,1
878,You shouldn't have played with rifles because to have is dangerous.,Is the grammar of this sentence incorrect ?,1
879,"Ron wanted to be wearing a tuxedo to the party, but Caspar didn't know whether to be.",Is the grammar of this sentence incorrect ?,1
880,Lilly recounted a story to be remembered because Holly had recounted a story to be.,Is the grammar of this sentence correct ?,0
881,"Lilly decided that eating cabbage, she should be.",Is the grammar of this sentence correct ?,1
882,"Lilly decided eating cabbage, to be.",Is the grammar of this sentence correct ?,0
883,"Read Fred's story, I also want to.",Is the grammar of this sentence correct ?,1
884,You shouldn't play with rifles because play with rifles to is dangerous.,Is the grammar of this sentence incorrect ?,1
885,"Ron wanted to wear a tuxedo to the party, but wear a tuxedo to the party Caspar couldn't decide whether to.",Is the grammar of this sentence correct ?,0
886,Lucy Barnes recounted a story to remember because remember Holly had recounted a story to.,Is the grammar of this sentence incorrect ?,1
887,Mag Wildwood came to introduce the bartender but I came not to.,Is the grammar of this sentence incorrect ?,0
888,Mag Wildwood came to introduce the bartender but I came precisely not to.,Is the grammar of this sentence incorrect ?,0
889,You should unload rifles because not to s is dangerous.,Is the grammar of this sentence incorrect ?,0
890,"If Ron knows whether to wear a tuxedo, and Caspar knows whether not to, do they know different things?",Is the grammar of this sentence incorrect ?,0
891,Lucy recounted a story to remember because Holly had recounted as story not to.,Is the grammar of this sentence incorrect ?,0
892,"I will, if I can work on it.",Is the grammar of this sentence correct ?,0
893,Did Harry leave?,Is the grammar of this sentence correct ?,1
894,Does Joe sing?,Is the grammar of this sentence correct ?,1
895,A proof that God exist does.,Is the grammar of this sentence incorrect ?,1
896,A proof that God does exists.,Is the grammar of this sentence correct ?,0
897,I visited every town in every country I had to.,Is the grammar of this sentence incorrect ?,1
898,Every man who said he would buy some salmon did.,Is the grammar of this sentence incorrect ?,0
899,I visited every town I had to.,Is the grammar of this sentence incorrect ?,0
900,Every town in every country I had to I visited.,Is the grammar of this sentence correct ?,1
901,Every man who said he would buy some salmon did buy some salmon.,Is the grammar of this sentence correct ?,1
902,Lilly should buy salmon and Mary should too.,Is the grammar of this sentence correct ?,1
903,Lilly should buy salmon and Mary should buy salmon too.,Is the grammar of this sentence incorrect ?,0
904,"Joe's neuroses bother his patrons, and Sally's neuroses do too.",Is the grammar of this sentence incorrect ?,0
905,"Joe likes his bar, and Sally's patrons do too.",Is the grammar of this sentence incorrect ?,0
906,Every picture of itself arrived.,Is the grammar of this sentence incorrect ?,0
907,My uncle doesn't have a spouse but your aunt does and he is lying on the floor.,Is the grammar of this sentence correct ?,1
908,"My uncle didn't buy anything for Christmas, but my aunt did it for him and it was bright red.",Is the grammar of this sentence incorrect ?,1
909,"I know which book Max read, and which book Oscar didn't.",Is the grammar of this sentence correct ?,1
910,"This is the book of which Bill approves, and this is the one of which he doesn't.",Is the grammar of this sentence incorrect ?,0
911,"I know which book Mag read, and which book Bob asked why you hadn't.",Is the grammar of this sentence correct ?,0
912,"I know which book Mag read, and which book Bob discussed after I had.",Is the grammar of this sentence incorrect ?,1
913,Dulles suspected everyone who Angleton did.,Is the grammar of this sentence incorrect ?,0
914,"While Bob read Fred, he didn't Dickens.",Is the grammar of this sentence correct ?,1
915,"Sally suspected Joe, but he didn't Holly.",Is the grammar of this sentence correct ?,1
916,"Although Mag doesn't eggplants, Sally eats cabbage.",Is the grammar of this sentence correct ?,0
917,"Although I don't know which book Sam did, I do know which book Sally read.",Is the grammar of this sentence correct ?,0
918,"Near everyone Angleton did, Dulles stood.",Is the grammar of this sentence correct ?,0
919,"Sally will stand near Mag, but he won't Holly.",Is the grammar of this sentence incorrect ?,1
920,"While Holly didn't discuss a report about every boy, she did every girl.",Is the grammar of this sentence correct ?,0
921,Sally will stand near every woman that you will.,Is the grammar of this sentence incorrect ?,0
922,"I know which woman Holly will discuss a report about, but I don't know which woman you will.",Is the grammar of this sentence correct ?,1
923,Sam stood near yesterday every one of the women we'd been discussing.,Is the grammar of this sentence correct ?,0
924,Truman visited yesterday you.,Is the grammar of this sentence correct ?,0
925,Truman told the story Bob.,Is the grammar of this sentence incorrect ?,1
926,"While Truman didn't visit me, he did you.",Is the grammar of this sentence correct ?,1
927,"While Truman didn't tell me a story, he did Rusty.",Is the grammar of this sentence incorrect ?,0
928,"While José won't talk about Mag, he might about Holly.",Is the grammar of this sentence incorrect ?,0
929,"Although Doc might tell it to you, he won't to me.",Is the grammar of this sentence correct ?,1
930,I think you need to show yourself more than you do anyone else.,Is the grammar of this sentence incorrect ?,0
931,"While Truman doesn't want to visit every city, he does Barcelona.",Is the grammar of this sentence incorrect ?,0
932,"While Rusty might leave in order to please Mag, he won't his father.",Is the grammar of this sentence correct ?,0
933,"While Doc might claim that Bob had read his book, he won't the paper.",Is the grammar of this sentence incorrect ?,1
934,"I'll turn the radio down, but I won't up.",Is the grammar of this sentence incorrect ?,1
935,"Fred likes eggplants, although he likes cabbage too.",Is the grammar of this sentence incorrect ?,0
936,"Although he likes cabbage too, Fred likes eggplants.",Is the grammar of this sentence correct ?,1
937,Fred gave flowers to his sweetie because Frank had.,Is the grammar of this sentence correct ?,1
938,"China is a country that Joe wants to visit, and he will too, if he gets enough money.",Is the grammar of this sentence correct ?,1
939,"Jerry wouldn't read a book by Babel, but Meryl has done so and it was pretty good.",Is the grammar of this sentence correct ?,1
940,"I know which book Max read, and which book Oscar hasn't done so.",Is the grammar of this sentence incorrect ?,1
941,"Joe might wish he had, but this isn't a country he has visited.",Is the grammar of this sentence incorrect ?,0
942,"While I might want to, this is the kind of thing that Harris has already suggested.",Is the grammar of this sentence correct ?,1
943,We like our friends and they do too.,Is the grammar of this sentence incorrect ?,0
944,We like our friends and they like our friends too.,Is the grammar of this sentence correct ?,1
945,"We like our friends and they like their friends, too.",Is the grammar of this sentence correct ?,1
946,Rusty talked about himself only after Holly did.,Is the grammar of this sentence incorrect ?,0
947,Rusty talked about himself only after Mary did talk about himself.,Is the grammar of this sentence incorrect ?,1
948,"I could find no solution, but Holly might.",Is the grammar of this sentence incorrect ?,0
949,Fred talked about everything before Rusty did.,Is the grammar of this sentence incorrect ?,0
950,"Joe will go to the store, even though Fred already has.",Is the grammar of this sentence correct ?,1
951,"Today there is little or no official harassment of lesbians and gays by the national government, although autonomous governments might.",Is the grammar of this sentence incorrect ?,0
952,"The candidate was dogged by charges of infidelity and avoiding the draft, or at least trying to.",Is the grammar of this sentence incorrect ?,0
953,"David is a great artist, and when he does, his eyes squint at you.",Is the grammar of this sentence incorrect ?,1
954,"The candidate was dogged by charges of infidelity, or at least trying to.",Is the grammar of this sentence incorrect ?,1
955,"This information could have been released by Gorbachev, but he chose not to.",Is the grammar of this sentence incorrect ?,0
956,"A lot of this material can be presented in a fairly informal and accessible fashion, and often I do.",Is the grammar of this sentence correct ?,1
957,John likes not Mary.,Is the grammar of this sentence incorrect ?,1
