,label,context
1480,1,It is not true that it was obvious that it would confuse the guards for Herschel to throw a fit.
1481,1,A review of this article came out yesterday.
1482,1,A review came out yesterday of this article.
1483,1,A review seems to have come out yesterday of this article.
1484,1,Why don't you pick some review up of this article?
1485,1,"Ann is going to send a picture of Chairman Mao to her teacher, as soon as she gets home."
1486,1,"Ann is going to send a picture to her teacher of Chairman Mao, as soon as she gets home."
1487,0,Which picture is Ann going to send to her teacher of Chairman Mao as soon as she gets home?
1488,0,"Who is Ann going to send a picture to her teacher of, as soon as she gets home?"
1489,1,That a review came out yesterday of this article is catastrophic.
1490,0,That a review came out yesterday is catastrophic of this article.
1491,1,I'll give some to my good friend from Akron.
1492,0,I'll give to my good friend from Akron some.
1493,1,Around midnight I promised that he would be there.
1494,1,I promised that he would be there tomorrow.
1495,1,Tomorrow I promised chat he would be there.
1496,1,I promised that tomorrow he would be there.
1497,1,I promised that around midnight he would be there.
1498,1,Beans I don't like.
1499,1,Proud of him I've never been.
1500,1,Beans I don't think you'll be able to convince me Harry has ever tasted in his life.
1501,1,It was tomorrow that I promised that he would be there.
1502,1,It is beans that I don't like.
1503,1,Do you think that he sometimes went there alone?
1504,1,I won't ask you to believe that he tried to force me to give her some money.
1505,1,That he sometimes went there alone is certain.
1506,1,Do you believe that somebody was looking for something?
1507,1,I never met that man who somebody tried to kill.
1508,1,I won't have any money.
1509,0,I will ask you to believe that he tried to force me to give her any money.
1510,1,Do you think that he ever went there alone?
1511,1,That he ever went there alone is odd.
1512,0,That he ever went there alone is certain.
1513,0,I never met that man who anybody tried to kill.
1514,1,Tom told somebody that he wasn't sick.
1515,1,Buffy couldn't do 100 push ups and somebody laughed.
1516,0,Tom told anybody that he wasn't sick.
1517,0,Buffy couldn't do 100 push ups and anybody laughed.
1518,1,I believe that the sun was out.
1519,1,I believed that the sun was out.
1520,1,I believed that the sun is out.
1521,0,That the sun is out was obvious.
1522,1,That I believed that the sun was out is obvious.
1523,1,That I believed that the sun is out is obvious.
1524,1,That Jack sometimes slept is impossible.
1525,1,That Jack ever slept is impossible.
1526,0,That Jack ever slept is possible.
1527,0,I talked to Winston about Winston.
1528,0,I talked to Winston about him.
1529,1,That the sun was out was obvious.
1530,1,John scratched his arm and Mary did too.
1531,1,Mary scratched her arm too.
1532,1,Mary scratched John's arm too.
1533,1,John scratched his arm and the boy who knew Mary scratched her arm.
1534,1,John scratched his arm and the boy who Mary knew did so too.
1535,1,That the fuzz wanted him worried John but it didn't worry Mary.
1536,1,"That the fuzz wanted him worried John, but that the fuzz wanted John didn't worry Mary."
1537,1,That the police wanted him worried Johns but it didn't worry the boy who Mary knew.
1538,0,John is prouder of having gone than nobody expected me to believe he would be.
1539,0,John is prouder of having gone than John didn't expect me to believe he would be.
1540,0,John is prouder of having gone than John expected nobody to believe he would be.
1541,0,John is prouder of having gone than John expected me not to believe he would be.
1542,0,John is prouder of having gone than than John expected me to believe not all.
1543,0,John is prouder of having gone than John expected me to believe that he wasn't.
1544,1,John is prouder of having gone than people who don't know him would expect me to believe he would be.
1545,1,John is prouder of having gone than Sally expected Joan to believe that the man who didn't shave would be.
1546,1,John is prouder of having gone than I expected you to believe he would be of not having fallen asleep.
1547,1,Tom knows it and Dick knows it and Harry knows it.
1548,1,"Tom washed the car, and Dick waxed the car."
1549,1,"Tom ordered bacon, and Dick ordered lettuce, and Harry ordered tomatoes."
1550,1,"Tom, Dick, and Harry know it."
1551,1,"Tom washed, and Dick waxed, and Harry polished the car."
1552,1,"Tom, Dick, and Harry ate, drank, and sang."
1553,1,"Tom ordered bacon, and Dick lettuce, and Harry tomatoes."
1554,1,"Tom ordered bacon, and Dick ordered lettuce, and I think that Harry ordered tomatoes."
1555,0,"Tom ordered bacon, and Dick lettuce, and I think that Harry tomatoes."
1556,1,Joe is taller than Mary is.
1557,1,Joe is taller than Mary.
1558,1,Joe is taller than I think Mary is.
1559,0,Joe is taller than I think Mary.
1560,1,Mike will sing if you will sing.
1561,1,Mike will sing if you will.
1562,1,Jim will go if he feels good.
1563,1,"If Jim feels good, he will go."
1564,1,I gave the book to Harvey because he asked me to.
1565,1,It never occurred to Harvey that I might want to leave because he is insensitive to other people's desires.
1566,0,"It never occurred to Harvey because he is insensitive to other people's desires that, I might want to leave."
1567,1,. I figured it out that she was lying.
1568,1,I explained it to Bill that she was lying.
1569,1,I took it for granted that she was lying.
1570,1,I regret it exceedingly that she was lying.
1571,1,He'll bring me a hot dog if he sees one.
1572,0,He'll bring me one if he sees a hot dog.
1573,1,"If he sees a hot dog, he'll bring me one."
1574,1,If he sees one; he'll bring me a hot dog.
1575,0,Seven more soldiers came in after ten ones had left.
1576,0,Seven more ones came in after ten soldiers had left.
1577,0,"After ten soldiers had left, seven more ones came in."
1578,0,"After ten ones had left, seven more soldiers came in."
1579,1,Seven more soldiers came in after ten had left.
1580,0,Seven more came in after ten soldiers had left.
1581,1,"After ten had left, seven more soldiers came in."
1582,1,"Harry believes that Sally is innocent, although no one else believes it."
1583,1,"Although no one else believes that Sally is innocent, Harry believes it."
1584,1,"Although no one else believes it, Harry believes that Sally is innocent."
1585,1,Webster touched a sword after Henry had done it.
1586,1,"After Henry had touched a sword, Webster did it."
1587,1,"After Henry had done it, Webster touched a sword."
1588,1,"If so, I've lost $500."
1589,0,"If it, I've lost $500."
1590,1,"Harry thinks that Sally is innocent, although no one else thinks so."
1591,0,"Harry thinks so, although no one else thinks Sally is innocent."
1592,1,"Although no one else thinks that Sally is innocent, Harry thinks so."
1593,1,"Although no one else thinks so, Harry thinks that Sally is innocent."
1594,1,Webster touched a sword after Henry had done so.
1595,1,"After Henry had touched a sword, Webster did so."
1596,1,"After Henry had done so, Webster touched a sword."
1597,1,I'll work on it if I can work on it.
1598,1,I'll work on it if no one else has worked on it.
1599,1,I'll work on it if you do.
1600,1,I'll work on it if no one else had.
1601,1,I'll work on it if Same will be too.
1602,0,I will if I can work on it.
1603,1,"If I can work on it, I will."
1604,1,"If I can, I will work on it."
1605,1,The boy who Mary loves hates her.
1606,1,The man who ordered a hot dog got one.
1607,1,Tom says that it's going to rain but I don't believe it.
1608,1,He said he would leave and now he's done it.
1609,1,"I think that Mort's a swell guy, and Lenny thinks so too."
1610,1,Why can't the man who usually cuts the grass do so today?
1611,1,"Mickey and Roger have signed, and Whitey will tomorrow."
1612,1,Ronald scoffs at the belief that he would run if nominated.
1613,1,Romeo conceded that he and Juliet were going steady.
1614,1,"I lost a Japanese slide rule, and the fact that Peter now has one I regard with suspicion."
1615,1,"The earth is flat, but will all those who don't believe it please raise their hands?"
1616,1,Pilots who can fly barrel rolls say that for me to try to do it in a glider would be hazardous.
1617,1,The passengers who had known that the train was not on fire said that those who had thought so had barricaded themselves in the bathrooms.
1618,1,"Playing with matches is; lots of fun, but doing, so and emptying gasoline from one can to another at the same time is a sport best reserved for arsons."
1619,1,"Swimming is fun, and I believe that people who can't should be taught to."
1620,1,How brave he is!
1621,1,How surprisingly well he dances!
1622,0,Whether he left!
1623,0,Why he knows the answer!
1624,0,Which boy is tall!
1625,1,How brave everybody must think you expect me to believe he is!
1626,0,How brave they must believe the claim that you are!
1627,1,How brave they must believe that you are!
1628,0,How brave he is tall and!
1629,0,How brave Mike is cowardly and Sam is!
1630,1,How he is brave!
1631,1,Bill left when everyone will believe that the police have forced me to confess that I shot Sandra.
1632,0,Bill left when I am looking at a girl who vomited.
1633,1,Bill left when I believe the bomb had just exploded.
1634,0,Bill left when I believe the claim that the bomb had just exploded.
1635,1,"When I am awake and Susan is asleep, Bill will leave."
1636,0,"When I am awake at that time and Susan is asleep, Bill will leave."
1637,0,Bill left when that no one else was awake is certain.
1638,1,Bill left when it is certain that no one else was awake.
1639,1,Here's a knife for you to cut up the onions with.
1640,0,I brought a razor to shave himself with.
1641,0,I brought a razor to shave myself with.
1642,1,I brought a razor with which to shave myself.
1643,0,I brought a razor with which to shave himself.
1644,1,I brought John a razor to shave himself with.
1645,0,I brought John a razor to shave myself with.
1646,1,I brought John a razor with which to shave himself.
1647,0,I brought John a razor with which to shave myself.
1648,0,Here's a knife which for you to cut up the onions with.
1649,1,Here's a plate for you to make Bob try to begin to force his sister to leave the cookies on.
1650,0,Here's a knife for you to say was on the table.
1651,0,Here's a pole for you to kiss the girl who tied the string around.
1652,0,Here's a razor for you to chop up these nuts with this cleaver and.
1653,0,Here's a razor for that you will be shaved with to be announced.
1654,0,Here's a razor for it to be announced that you will be shaved with.
1655,0,I loaned Maggie a Swiss Army knife whose to open the padlock with corkscrew.
1656,1,"Fluffy is sick, which few people realize."
1657,1,"Fluffy is sick, which I'm not sure you know Sarah expects me to believe Joan realizes."
1658,0,"Fluffy is sick, which I slapped a boy who wouldn't acknowledge."
1659,1,"Fluffy is sick, which I believe that few people realize."
1660,0,"Fluffy is sick, which I fell asleep and Tom suddenly realized."
1661,0,"Fluffy is sick, which that no one here realizes is certain."
1662,1,"Fluffy is sick, which it is certain that no one here realizes."
1663,1,"Fluffy is sick, which nobody knows."
1664,0,"Fluffy is sick, as nobody knows."
1665,1,"Fluffy is sick, as not everybody knows."
1666,0,"Fluffy is sick, as surprises me."
1667,1,It was this hat that Tom said Al thought you wanted me to make Jack put on.
1668,1,What Tom said Al thought you wanted me to make Jack put on was this hat.
1669,1,This hat Tom said Al thought you wanted me to make Jack put on.
1670,0,It is this hat that I know the boy who is wearing.
1671,1,It is this hat that I believe that he was wearing.
1672,0,What I know the boy who was wearing is this hat.
1673,1,What I believe that he was wearing is this hat.
1674,0,This hat I know the boy who was wearing.
1675,1,This hat I believe that he was wearing.
1676,0,What the gloves and were on the table was this hat.
1677,0,This hat the gloves and were on the table.
1678,0,It is this hat that that he was wearing is certain.
1679,1,It is this hat that it is certain that he was wearing.
1680,0,What that he was wearing is certain is this hat.
1681,1,What it is certain that he was wearing is this hat.
1682,1,This hat it is certain that he was wearing.
1683,0,It was John's that I stole bike.
1684,0,The one whose I stole bike was John's.
1685,0,John's I stole bike.
1686,1,Maxwell isn't the doctor that his father was.
1687,1,Maxwell isn't half the doctor that his father was.
1688,1,Maxwell is the man who won the Nobel Prize for astrology.
1689,0,Maxwell isn't half the doctor.
1690,1,Maxwell is quite the doctor.
1691,1,Maxwell isn't much of a doctor.
1692,1,Maxwell is more of a doctor than his son is.
1693,0,Maxwell isn't half the doctor that was here.
1694,0,Maxwell isn't half the doctor that polished off the vodka.
1695,0,Half the doctor that Maxwell's father was sat down.
1696,1,Maxwell isn't half the doctor that feared Marge would realize Tom had confessed that he knew Bill expected him to be.
1697,0,Maxwell isn't half the doctor that I know an African chief who is.
1698,1,Maxwell isn't half the doctor that people around here believe that his father was.
1699,0,Maxwell isn't half the doctor that his sister is a psychologist and his father was.
1700,0,Maxwell isn't half the doctor that that he would be if he studied is certain.
1701,1,Maxwell isn't half the doctor that I'm certain that he would be if he studied.
1702,1,He's the happiest that I've ever seen him.
1703,1,The hardest that it ever snowed was last January 12th.
1704,1,The hardest that I think I remember him ever telling me that he had heard of it snowing around here was last January 12th.
1705,0,He's the happiest that we ever talked to the boy who had seen him.
1706,1,He's the happiest that I believe that he's ever been.
1707,0,The hardest that I ever knew a man who said that it had snowed was last January 12th.
1708,1,The hardest that I believe that it ever snowed was last January 12th.
1709,0,He's the happiest that I've ever seen him drunk and.
1710,0,The hardest that all the power lines were down and it snowed was last January 12th.
1711,0,He is the happiest that that he has ever been is believed.
1712,1,He is the happiest that it is believed that he has ever been.
1713,0,The hardest that that it has snowed here is believed was last January 12th.
1714,1,The hardest that it is believed that it has ever snowed here was last January 12th.
1715,0,A friend of mine and a girl who was from his home town met in Vienna who was working in Europe.
1716,0,A friend of mine who was working in Europe and a girl met in Vienna who was from his home town.
1717,0,It and that he loved another was painfully evident that she loved him.
1718,0,That she loved him and it was painfully evident that he loved another.
1719,1,Mary and an old friend who comes from Miami kissed.
1720,0,Mary and kissed an old friend who comes from Miami.
1721,1,I gave a picture of a covered bridge and a hundred hikers from Hoboken to my sister.
1722,0,I gave a picture of a covered bridge and to my sister a hundred hikers from Hoboken.
1723,0,Joan plays and sings folk songs a wonderful old guitar from Spain.
1724,1,"Sally might be pregnant, and I know a girl who definitely is pregnant."
1725,0,"Sally might be, and I know a girl who definitely is pregnant."
1726,1,"Sally might be pregnant, and I believe the claim that Sheila definitely is pregnant."
1727,1,"Sally might be pregnant, and I believe that Sheila definitely is pregnant."
1728,0,"Sally is tall, and may be, and Sheila is short, and definitely is, blond."
1729,1,"Hank plays the guitar and finds arrangements for all the old folk songs which are still sung in these hills, and Ernie writes down all the old folk songs which are still sung in these hills."
1730,0,"Hank plays the guitar and finds arrangements for, and Ernie writes down, all the old folk songs which are still sung in these hills."
1731,1,They said that Tom would pay up and he will pay up.
1732,1,"They said that Tom was working, and he is working."
1733,1,"They said that Tom would pay up, and pay up he did."
1734,1,"They said that Tom would pay up, and pay up he will."
1735,1,"They said that Tom was working, and working he is."
1736,1,"They said Tom would pay up, and pay up I'm sure everybody will tell you that his lawyers expect me to believe he did."
1737,1,"They said nobody would pay up, but I know a boy who did pay up."
1738,0,"They said nobody would pay up, but pay up I know a boy who did."
1739,1,"They said that Tom would pay up, and pay up I believe that he did."
1740,1,"They said that Tom wouldn't pay up, but he did go to the bank, and he did pay up."
1741,1,"They said that Tom wouldn't pay up, but pay up he did go to the bank and he did."
1742,0,"They said that Tom would pay up, and pay up that he did is well-known."
1743,1,"They said that Tom would pay up, and pay up it is well-known that he did."
1744,1,"Although Dick is handsome, I'm still going marry Herman."
1745,1,"Handsome though Dick is, I'm still going to marry Herman."
1746,1,"Handsome though everyone expects me to try to force Bill to make Mom agree that Dick is, I'm still going to Marry Herman."
1747,0,"Handsome though I know several boys who are, I'm still going to marry Herman."
1748,1,"Handsome though I believe that Dick is, I'm still going to marry Herman."
1749,0,"Handsome though Dick is fair, Nordic, strong and, I'm still going to marry Herman."
1750,0,"Handsome though that Dick will be is likely, I'm still going to marry Herman."
1751,1,"The more contented we pretended to be, the more we grew angry at the doctors."
1752,0,"The more contented I laughed at the nurse who thought that we were becoming, the more angry we grew at the doctors."
1753,0,"The more contented the nurses began to believe that we were going to pretend to be, the more angry we grew at the doctors."
1754,0,"The more contented we pretended to be better fed and, the more angry we grew at the doctors."
1755,0,"The more contented for us to pretend to be became possible, the more angry we grew at the doctors."
1756,1,I have some papers to grade.
1757,0,I have some papers to announce that I've got to grade.
1758,1,I have some papers to try to finish grading.
1759,1,I have getting into college to consider.
1760,0,I have some papers to grade these exams and.
1761,0,I have some voice exercises to play the guitar and sing.
1762,0,I have John's to grade paper.
1763,1,Wilt is taller than I imagine anybody would ever guess that people had begun expecting Red to announce that he was.
1764,1,The sofa was longer than the desk was.
1765,1,The sofa was longer than the desk was long.
1766,0,Willy is taller than I know a boy who is.
1767,1,Wilt is taller than I believe that Bill is.
1768,0,Willy is taller than Bill is strong and.
1769,0,Dean drank more booze than Frank ate Wheaties and Sammy drank.
1770,0,Willy is taller than that Bill is is generally believed.
1771,1,Wilt is taller than it is generally believed that Bill is.
1772,1,Willy is taller than Bill by 7 millimeters.
1773,1,The raise which Scrooge generously gave Tom's father increased his yearly salary by five cents.
1774,1,The hare outran the tortoise by so much that he forgot the latter was even in the race any more.
1775,1,Who knew Mickey would overthrow home plate by that much?
1776,1,Willy is taller than Bill by that much.
1777,1,John is taller than Bill by that much.
1778,1,Willy is taller than Bill by as much as Joe is taller than the Dan.
1779,1,Willy is taller than Bill by more than Joe is taller than Dan.
1780,1,Willy is taller than Bill by as much as everybody seems to expect me to admit to having publicly proclaimed that I believed.
1781,0,Willy is taller than Bill by as much as I know a boy who thinks that Bill is taller than Dan.
1782,1,Willy is taller than Bill by as much a Peter believes that Billy is taller than Dan.
1783,0,Willy is taller than Bill by as much as I watch all the games and I know Billy is taller than Dan.
1784,0,Willy is taller than Bill by as much as that Bill is taller than Dan is believed.
1785,1,Willy is taller than Bill by as much as it is believed that Joe is taller than Dan.
1786,1,The rock was too heavy for me to pick up.
1787,1,This rock is too heavy for me to begin to decide about helping Bob to try to pick it up.
1788,0,This rock is too heavy for me to begin to decide about helping Bob to try to pick up.
1789,0,This rock is too heavy for us to try to claim that we picked up.
1790,1,Sodium is a little too peppy for me to want to try mixing it and water in a teacup.
1791,0,Sodium is a little too peppy for me to want to try mixing and water in a teacup.
1792,0,That piece of ice is too big for for him to be able to pick up with a teaspoon to be likely.
1793,0,That piece of ice is too big for it to be likely for him to be able to pick up with a teaspoon.
1794,1,Bob is too thin for me to be able to squeeze into his jacket.
1795,0,Bob is too thin for me to be able to squeeze into jacket.
1796,1,This rock is light enough for Marcia to pick it up.
1797,1,This rock is light enough for Marcia to pick up.
1798,1,The socks are ready for you to put on.
1799,1,The socks are ready for you to go about beginning to put them on.
1800,1,The socks are ready for you to announce that you will put them on.
1801,0,The socks are ready for you to announce that you will put on.
1802,1,The socks are ready for you to try them and the shoes on.
1803,0,The socks are ready for you to try and the shoes on.
1804,1,John is ready for you to inspect his bunk.
1805,0,John is ready for you to inspect bunk.
1806,0,The socks are ready for it to be planned for you to put on.
1807,1,It is tough to play sonatas on this violin.
1808,1,Sonatas are difficult to play on this violin.
1809,1,Sonatas are easy to play on this violin.
1810,1,Sonatas are tough to play on this violin.
1811,1,This violin is easy to play sonatas on.
1812,1,This violin is tough to play sonatas on.
1813,1,I made John easy to get along with.
1814,1,I made it easy to get along with John.
1815,1,John tries to be easy to get along with.
1816,0,John tried Bill to play checkers.
1817,0,John tried for Bill to play checkers.
1818,0,Bill would be easy for for you to chat with in Moscow to become expensive.
1819,0,Bill would be easy for it to become expensive for you to chat with in Moscow.
1820,1,"My father, he's Armenian, and my mother, she's Greek."
1821,0,"If my father, he comes home late, my mother always grills him."
1822,0,"It started to rain after Jackie and me, we had finally gotten to our seats."
1823,0,"I acknowledged that my father, he was tight as an owl."
1824,1,"I said that my father, he was tight as an owl."
1825,0,That beans he likes is now obvious.
1826,0,I'm going to write to the Game Warden if more than one deer my neighbor brings back.
1827,0,I don't know the boy who the flowers Mary gave to.
1828,0,I don't know the boy the flowers who Mary gave to.
1829,0,That informers they never use is claimed by the CIA.
1830,1,"My father, I hardly ever see him and my mother when they're not glaring at each other."
1831,1,"This guitar, I've sung folk songs and accompanied myself on it all my life."
1832,1,"My father, that he's lived here all his life is well-known to the cops."
1833,1,"My wife, somebody stole her handbag last night."
1834,1,"They spoke to the janitor about that robbery yesterday, the cops."
1835,1,"The cops spoke to him about that robbery yesterday, the janitor."
1836,1,"The cops spoke to the janitor about it yesterday, that robbery."
1837,1,"That they spoke to the janitor about that robbery yesterday, the cops, is terrible."
1838,1,"That the cops spoke to the janitor about it yesterday, that robbery, is terrible."
1839,0,"That they spoke to the janitor about that robbery yesterday is terrible, the cops."
1840,0,"They let him go yesterday, he."
1841,0,"They let him go yesterday, him."
1842,0,"I like beer, I."
1843,0,"I like beer, me."
1844,0,"We'll go together, us."
1845,0,"They can't stand each other, they."
1846,0,"They can't stand each other, them."
1847,1,"We'll do it together, you and I."
1848,1,"We'll do it together, you and me."
1849,1,"They can't stand each other, he and she."
1850,1,"They can't stand each other, him and her."
1851,0,"He, they let him go yesterday."
1852,1,"Him, they let him go yesterday."
1853,0,"I, I like beer."
1854,1,"Me, I like beer."
1855,0,"We, we'll go together."
1856,1,"Us, we'll go together."
1857,0,"They, they can't stand each other."
1858,1,"Them, they can't stand each other."
1859,0,I saw Mary and downtown yesterday your friend from Boston.
1860,1,"I saw Mary and him downtown yesterday, your friend from Boston."
1861,0,I noticed car in the driveway last night your friend from Boston.
1862,1,"I noticed his car in the driveway last night, your friend from Boston."
1863,0,I spoke to about the war yesterday that guy who's always following us.
1864,1,"I spoke to him about the war yesterday, that guy who's always following us."
1865,1,I just saw that girl who Long John's claim that he was a Martian made all the headlines.
1866,1,All the students who the papers which they submitted were lousy I'm not going to allow to register next term.
1867,1,Didn't that guy who the Game Warden and him had seen a flying saucer crack up?
1868,1,Palmer is a guy who for for him to stay in school would be stupid.
1869,1,King Kong is a movie which you'll laugh yourself sick if you see it.
1870,1,"Enrico, who is the smartest of us all, got the answer in seven seconds."
1871,1,"Enrico, and he is the smartest of us all, got the answer in seven seconds."
1872,0,"Any student, who wears socks, is a swinger."
1873,0,"No student, who wears socks, is a swinger."
1874,0,"Every student, who wears socks, is a swinger."
1875,0,"Any student, and he wears socks, is a swinger."
1876,0,"No student, and he wears socks, is a swinger."
1877,1,"Is even Clarence, who is wearing mauve socks, a swinger?"
1878,1,Seven pine trees are behind that barn.
1879,1,There are seven pine trees behind that barn.
1880,1,That barn has seven pine trees behind it.
1881,1,There will be a hole in Jack's pocket.
1882,0,There will be the hole in Jack's pocket.
1883,1,Jack will have a hole in his pocket.
1884,0,That barn has seven pine trees behind itself.
1885,0,That barn has seven pine trees behind the cow.
1886,1,Jack's pocket will have a hole in it.
1887,0,There is a hole in John's quilt's upper right-hand corner.
1888,0,John's quilt's upper right-hand corner has a hole.
1889,1,John's quilt has a hole in its upper right-hand corner.
1890,0,John has a hole in his quilt's upper right-hand corner.
1891,1,John has a hole in the upper right-hand corner of his quilt.
1892,1,There are seven holes in the door and window.
1893,0,The door has seven holes in it and the window.
1894,1,There is a blemish on the end of Jerry's sister's nose.
1895,0,Jerry has a blemish on the end of his sister's nose.
1896,1,Jerry's sister has a blemish on the end of her nose.
1897,1,There is a hole in the rug which Toby bought in Boston.
1898,1,There was an error in the proof Johns presented.
1899,1,There was a snake behind the car Fred was sitting in.
1900,1,John had an error in the proof he presented.
1901,0,John had an error in the proof Sarah presented.
1902,1,Fred had a snake behind the car Joe was sitting in.
1903,1,Fred had a snake behind the car he was sitting in.
1904,1,There was a yellow collar on the dog which the car injured.
1905,1,There was a snake behind the car the time bomb was sitting in.
1906,0,The car had a yellow collar on the dog which it injured.
1907,0,That stone has a hole in the tarpaulin which it is holding down.
1908,0,The time bomb had a snake behind the car which it was sitting in.
1909,1,There were several hundred people yelling for me to put down gently.
1910,1,The hot potato which there were several hundred people yelling for me to put down gently turned out to have been filled with TNT.
1911,0,The hot potato had several hundred people yelling for me to put it down gently.
1912,1,Bartlett and Toni danced.
1913,1,Bartlett danced with Toni.
1914,0,Bartlett and danced Toni.
1915,0,And Toni danced Bartlett.
1916,1,It bothers me for her to wear that old fedora.
1917,0,The only girl for whom it bothers me to wear that old fedora is Annabelle.
1918,0,The only girl who it bothers me to wear that old fedora is Annabelle.
1919,1,I would prefer it for there to be no talking.
1920,1,He gave my binoculars to that girl.
1921,1,He gave that girl my binoculars.
1922,1,Which girl did he give my binoculars to?
1923,0,Which girl did he give my binoculars?
1924,1,My binoculars were given to that girl by him.
1925,1,Bill confirmed that Roger has eaten the cake.
1926,1,Bill alleged that Roger had eaten the cake.
1927,1,Bill alleged that Roger has eaten the cake.
1928,0,What did Bill confirm that Roger had eaten?
1929,1,What did Bill allege that Roger had eaten?
1930,0,Bill didn't confirm that Roger had eaten anything.
1931,0,Waldo didn't report the possibility that anyone had left.
1932,1,Waldo didn't report that anyone had left.
1933,1,Anybody who ever swears at me better watch his step.
1934,1,I want all the students who have ever tried to pat Fido to show me their scars.
1935,0,Only the travelers who anybody has ever robbed don't carry machetes.
1936,1,The only travelers who anybody has ever robbed don't carry machetes.
1937,0,I can't remember the name of somebody who had any misgivings.
1938,1,I can't remember the name of anybody who had any misgivings.
1939,1,"Everybody who has ever, worked in any office which contained any typewriter which had ever been used to type any letters which had to be signed by any administrator who ever worked in any department like mine will know what I mean."
1940,1,No student who ever goes to Europe ever has enough money.
1941,0,Every student who ever goes to Europe ever has enough money.
1942,0,I didn't eat the ice cream and any cake.
1943,1,I realized that it had rained and some crops had been destroyed.
1944,1,I didn't realize that it had rained and some crops had been destroyed.
1945,1,I didn't eat any ice cream or any cake.
1946,0,I didn't eat any ice cream and any cake.
1947,0,I didn't eat the cake or any ice cream.
1948,0,I didn't eat any ice cream or Mary's cake.
1949,0,I didn't eat any ice cream or the cake.
1950,1,John and Mary met in Vienna.
1951,1,John met Mary in Vienna.
1952,0,Few writers and any playwrights meet in Vienna.
1953,1,Few writers meet any playwrights in Vienna.
1954,0,My brother and few Americans meet in Vienna.
1955,1,My brother meets few Americans in Vienna.
1956,1,"No writer, and no playwright, speaks clearly."
1957,1,"No writer, nor any playwright, speaks clearly."
1958,0,Bill understands Mary and himself.
1959,0,Bill understands himself and Mary.
1960,0,Bill and Mary washed himself.
1961,0,Andy pinched Sarah and tickled herself.
1962,0,The gun and a description of itself lay on the bureau.
1963,1,Bill believes that Anna and he are similar.
1964,1,Bill believes Anna and him to be similar.
1965,0,Bill believes Anna and himself to be similar.
1966,0,I deny that that Bob has any money is certain.
1967,1,I deny that it is certain that Bob has any money.
1968,0,I deny that that Bob has some money is certain.
1969,1,Tom will not force you to marry any student.
1970,1,Tom will force you to marry no student.
1971,0,The writers of any of the reports didn't know the answer.
1972,1,The writers of none of the reports.
1973,1,"Tom will force you to marry no student, and neither will I."
1974,1,It is not certain that you'll marry any student.
1975,1,It is not certain that you'll marry any particular student.
1976,1,It is certain that you'll marry no student.
1977,1,That you will marry any particular student is not certain.
1978,1,The man who I gave John a picture of was bald.
1979,0,The man who I gave John this picture of was bald.
1980,0,The man who I gave John Ed's picture of was bald.
1981,1,I gave Jack a picture of myself.
1982,0,I gave Jack Ed's picture of myself.
1983,1,I didn't give Jack a picture of anybody.
1984,0,I didn't give Jack this picture of anybody.
1985,1,I hope I'm not treading on anyone's toes.
1986,1,Abernathy admitted that the poison pen letter had been written by my sister and him.
1987,1,Abernathy admitted that the poison pen letter had been written by my sister and himself.
1988,1,That the sun was out is obvious.
1989,1,That anybody ever left at all is not known.
1990,1,That anybody ever left at all is not certain.
1991,1,That anybody ever left at all is impossible.
1992,1,That anybody ever left at all is surprises me.
1993,1,"Tonight, what Bob cooked yesterday still tastes good."
1994,1,"Tonight, what Bob cooked yesterday still tastes good, so tonight, what Bob cooked yesterday will be eaten up."
1995,1,"Tonight, what Bob cooked yesterday still tastes good, so tonight it will be eaten up."
1996,1,Martha gave Myrna an apple.
1997,1,Leigh threw the ball to Lane.
1998,1,Leigh threw Lane the ball.
1999,1,The noise gave Terry a headache.
2000,0,The noise gave a headache to Terry.
2001,1,Jill threw the ball from home plate to third base.
2002,1,Jill kicked the ball from home plate to third base.
2003,1,I sent the bicycle from my house at the beach to my house in the mountains.
2004,1,I shipped the bicycle from my house at the beach to my house in the mountains.
2005,1,Fred threw the ball under the porch.
2006,1,Fred threw the ball behind the tree.
2007,1,Fred threw the ball over the fence.
2008,1,Fred kicked the ball under the porch.
2009,1,Fred kicked the ball behind the tree.
2010,1,Fred kicked the ball over the fence.
2011,1,Felicia threw the ball off the bench.
2012,1,Felicia threw the ball out the window.
2013,1,Felicia kicked the ball out the window.
2014,0,Felicia sent the box off the shelf.
2015,0,Felicia sent the box out of the storeroom.
2016,0,Felicia shipped the box off the shelf.
2017,0,Felicia shipped the box out of the storeroom.
2018,0,Jake sent the box at Carson.
2019,0,Jake sent the box towards Carson.
2020,0,Jake shipped the box at Carson.
2021,0,Jake shipped the box towards Carson.
2022,1,Anne is curious as to why her father sent her a telegram to America to return home at once.
2023,0,Where did you give the ball?
2024,1,Where did you throw the ball? To third base.
2025,1,Where did you send the bicycle? To Rome.
2026,1,I gave the package to Maria.
2027,0,I gave the package to London.
2028,1,I sent the package to London.
2029,1,I threw the ball to Maria.
2030,1,I threw the ball to the other side of the field.
2031,0,Susan gave the ball halfway to Bill.
2032,0,Susan gave the ball all the way to Bill.
2033,1,Jake threw the ball all the way to Bill.
2034,1,Jake threw the ball halfway to Bill.
2035,1,Jake kicked the ball all the way to Bill.
2036,1,Jake kicked the ball halfway to Bill.
2037,1,I sent the package all the way around the world.
2038,1,I sent the package to the Antarctic.
